circBA9.3
miR-20a
miR-20a-5p
miR-20b
miR-20b*
miR-21
miR-21*
miR-21-5p
miR-210
miR-211
miR-212
miR-213
miR-214
miR-214*
miR-215
miR-216
miR-216a
miR-216b
miR-217
miR-218
miR-219
miR-219-2
miR-22
miR-22*
miR-22-3p
miR-220
miR-221
miR-221*
miR-222
miR-222*
miR-223
miR-224
miR-2277
miR-23a
miR-23b
miR-23b-3p
miR-24
miR-25
miR-25*
miR-26a
miR-26a-MM1
miR-26b
miR-275
miR-27a
miR-27b
miR-27b 
miR-28
miR-2861
miR-296
miR-298
miR-299
miR-29a
miR-29a*
miR-29b
miR-29b-1*
miR-29b-2*
miR-29c
miR-300
miR-301a
miR-301b
miR-302a
miR-302b
miR-302c
miR-302c*
miR-3065
miR-30a
miR-30a*
miR-30b
miR-30b*
miR-30c
miR-30d
miR-30d*
miR-30e
miR-30e*
miR-31
miR-31*
miR-3126
miR-3127
miR-3130
miR-3141
miR-3147
miR-3154
miR-3173
miR-3177
miR-3178
miR-3180
miR-3184
miR-3186
miR-3187
miR-3193
miR-3195
miR-3196
miR-32
miR-320
miR-3200
miR-320a
miR-320c
miR-320d
miR-324
miR-328
miR-330
miR-331
miR-335
miR-338
miR-339
miR-33a
miR-33a*
miR-33b
miR-340
miR-342
miR-345
miR-346
miR-34a
miR-34a-5p
miR-34b
miR-34c
miR-3607
miR-361
miR-3619
miR-362
miR-3621
miR-363
miR-363*
miR-3647
miR-365
miR-3651
miR-3653
miR-3665
miR-367
miR-3676
miR-3682
miR-3687
miR-369
miR-370
miR-371
miR-372
miR-373
miR-373*
miR-374a
miR-374a*
miR-374b
miR-375
miR-376c
miR-377
miR-378
miR-378a
miR-378c
miR-378d
miR-378e
miR-378f
miR-378g
miR-378i
miR-381
miR-382
miR-383
miR-3937
miR-3940
miR-3960
miR-409
miR-410
miR-411
miR-412
miR-421
miR-422a
miR-423
miR-424
miR-424*
miR-425
miR-425*
miR-4257
miR-4258
miR-4261
miR-4279
miR-4284
miR-4286
miR-4288
miR-429
miR-431
miR-433
miR-4428
miR-4430
miR-4454
miR-4463
miR-4465
miR-4466
miR-4467
miR-4476
miR-4478
miR-448
miR-4484
miR-4485
miR-4488
miR-4492
miR-4497
miR-449a
miR-4508
miR-450a
miR-451
miR-4516
miR-452
miR-4521
miR-453
miR-4530
miR-4532
miR-4535
miR-454
miR-455
miR-455-3p
miR-4638
miR-4640
miR-4646
miR-4655
miR-4665
miR-4669
miR-4674
miR-4675
miR-468
miR-4685
miR-4687
miR-4689
miR-4695
miR-4707
miR-4710
miR-4711
miR-4713
miR-4716
miR-4721
miR-4722
miR-4723
miR-4725
miR-4732
miR-4739
miR-4745
miR-4749
miR-4750
miR-4758
miR-4783
miR-4787
miR-483
miR-485
miR-486
miR-487b
miR-489
miR-490
miR-491
miR-494
miR-495
miR-496
miR-497
miR-499
miR-500
miR-500a
miR-500b
miR-501
miR-501-5P
miR-502
miR-503
miR-505
miR-506
miR-509
miR-5096
miR-512
miR-513a
miR-514
miR-515
miR-517a
miR-517b
miR-517c
miR-518b
miR-518c
miR-518e*
miR-518f
miR-518f*
miR-519
miR-519a
miR-519b
miR-519c
miR-519d
miR-519e*
miR-520
miR-520a
miR-520b
miR-520c
miR-520d
miR-520d*
miR-520g
miR-520h
miR-522
miR-523
miR-526b*
miR-532
miR-539
miR-541*
miR-542
miR-543
miR-545
miR-548a
miR-550
miR-555
miR-560
miR-563
miR-568
miR-569
miR-571
miR-574
miR-576
miR-578
miR-582
miR-584
miR-585
miR-586
miR-587
miR-588
miR-589*
miR-590
miR-590-5p
miR-591
miR-592
miR-593
miR-593*
miR-598
miR-601
miR-605
miR-606
miR-6087
miR-613
miR-614
miR-615
miR-618
miR-624*
miR-625
miR-625*
miR-628
miR-629
miR-630
miR-633
miR-638
miR-639
miR-640
miR-643
miR-647
miR-649
miR-651
miR-652
miR-654-5p
miR-655
miR-658
miR-660
miR-662
miR-663
miR-663a
miR-665
miR-671
miR-675
miR-675*
miR-6825-5p
miR-6845-5p
miR-6886-3p
miR-7
miR-7-1*
miR-7-5p
miR-708
miR-718
miR-720
miR-744
miR-758
miR-760
miR-762
miR-765
miR-766
miR-767
miR-768
miR-769
miR-801
miR-802
miR-873
miR-874
miR-875
miR-876
miR-877
miR-885
miR-886
miR-887
miR-888
miR-892b
miR-9
miR-920
miR-922
miR-923
miR-92a
miR-92a-1
miR-92a-2*
miR-92b
miR-93
miR-933
miR-935
miR-939
miR-940
miR-942
miR-96
miR-96-5p
miR-98
miR-99a
miR-99a-5p
miR-99b
miR-99b*
miR-Plus-A1031
piRNA-54265
